Group#,Source Student,Target Student,Score,Comment,,Private
Group16,xhs-t6-s2,xhs-t6-s2,35.8,,"From 'Team6 Student2' about 'Team6 Student2'And they said, "You'll never get it done!""
Group16,xhs-t6-s2,cbo-t6-s1,21.5,,"From 'Team6 Student2' about 'Team6 Student1'And they said, "You'll never get it done!""
Group16,xhs-t6-s2,xob-t6-s3,2.7,,"From 'Team6 Student2' about 'Team6 Student3'And they said, "You'll never get it done!""
-->Group16,xob-t6-s3,23.9,"From 'Team6 Student3' about 'Team6 Student3'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team6 Student3)Don't forget: Bring your towel \ the cake is a lie."
Group16,xob-t6-s3,xob-t6-s3,23.9,,"From 'Team6 Student3' about 'Team6 Student3'And they said, "You'll never get it done!""
Group16,xob-t6-s3,xhs-t6-s2,15.3,,"From 'Team6 Student3' about 'Team6 Student2'And they said, "You'll never get it done!""
Group16,xob-t6-s3,cbo-t6-s1,20.8,,"From 'Team6 Student3' about 'Team6 Student1'And they said, "You'll never get it done!""
-->Group16,xva-t7-s2,16.5,"From 'Team7 Student2' about 'Team7 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team7 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group16,xva-t7-s2,xva-t7-s2,16.5,,"From 'Team7 Student2' about 'Team7 Student2'And they said, "You'll never get it done!""
Group16,xva-t7-s2,ctn-t7-s3,18.8,,"From 'Team7 Student2' about 'Team7 Student3'And they said, "You'll never get it done!""
Group16,xva-t7-s2,gff-t7-s1,24.7,,"From 'Team7 Student2' about 'Team7 Student1'And they said, "You'll never get it done!""
-->Group16,yod-t8-s1,23.1,"From 'Team8 Student1' about 'Team8 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team8 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group16,yod-t8-s1,yod-t8-s1,23.1,,"From 'Team8 Student1' about 'Team8 Student1'And they said, "You'll never get it done!""
Group16,yod-t8-s1,pky-t8-s2,11.5,,"From 'Team8 Student1' about 'Team8 Student2'And they said, "You'll never get it done!""
Group16,yod-t8-s1,trd-t8-s3,22.9,,"From 'Team8 Student1' about 'Team8 Student3'And they said, "You'll never get it done!""
Group16,yod-t8-s1,cmb-t8-s4,22.5,,"From 'Team8 Student1' about 'Team8 Student4'And they said, "You'll never get it done!""
